,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,M_TYPE,MW_SCOR,MW_BRProxy,s_MW_BRProxy,ST,Locality,(Reference) Comments,t_MW_BRProxy
1467,2003,4,13,11,20,14,-22.27,-40.67,0.0,30,3.3,1,I,-,,MR,3.835,2.9,0.3,RJ,Margem Cont.,(IAG;UnB)  IAG2.8 - UnB3.7,Mw(mb)
1468,2003,4,16,15,36,18,-21.31,-39.86,0.0,10,3.2,1,I,-,,MR,3.75,2.8,0.3,RJ,Margem Cont.,(IAG),Mw(mb)
1469,2003,5,4,22,27,57,-20.37,-44.81,0.0,20,2.9,1,I,-,,MR,3.495,2.5,0.3,MG,Itaguara,(IAG;UnB) IAG2.8 - UnB3.0,Mw(mb)
1470,2003,5,11,13,32,45,-16.73,-54.29,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,MT,Rondonopolis,(IAG),Mw(mb)
1471,2003,5,11,13,45,38,-16.73,-54.29,0.0,20,3.7,1,I,-,,MR,4.175,3.4,0.3,MT,Rondonopolis,(IAG;UnB) IAG3.9 - UnB3.5,Mw(mb)
1472,2003,5,17,6,40,3,-26.09,-46.21,0.0,30,2.9,1,I,-,,MR,3.495,2.5,0.3,PR,Margem Cont.,(IAG),Mw(mb)
1473,2003,5,20,7,50,31,-4.24,-39.98,0.0,30,2.5,1,I,-,,MR,3.155,2.0,0.3,CE,Taperauaba,(IAG),Mw(mb)
1474,2003,5,23,11,28,11,-25.39,-46.42,0.0,30,3.1,1,I,-,,MR,3.665,2.7,0.3,PR,Margem Cont.,(IAG),Mw(mb)
1475,2003,6,17,2,15,0,-8.26,-35.96,0.0,5,2.4,1,I,-,,MR,3.07,1.9,0.3,PE,Caruaru,(UFRN),Mw(mb)
1476,2003,6,23,6,9,6,-26.44,-41.73,0.0,30,4.1,1,I,-,,MR,4.515,3.8,0.3,SC,Margem Cont.,(IAG;UnB;IPT) IAG3.6;UnB4.5,Mw(mb)
1477,2003,6,30,13,20,36,-16.73,-54.29,0.0,20,2.6,1,I,-,,MR,3.24,2.2,0.3,MT,Rondonopolis,(IAG),Mw(mb)
1478,2003,7,14,9,8,38,-12.64,-47.68,0.0,30,3.6,1,I,-,,MR,4.09,3.3,0.3,TO,Parana,(IAG;UnB) IAG3.8;UnB3.3,Mw(mb)
1479,2003,7,14,9,15,37,-12.64,-47.62,0.0,30,3.0,1,I,-,,MR,3.58,2.6,0.3,TO,Parana,(IAG),Mw(mb)
1480,2003,7,15,15,36,1,-15.55,-47.68,0.0,40,2.5,1,I,-,,MR,3.155,2.0,0.3,GO,Jacilandia,(IAG),Mw(mb)
1481,2003,7,19,10,32,0,-5.63,-35.6,0.0,5,2.7,1,I,-,,MR,3.325,2.3,0.3,RN,Taipu,(UFRN),Mw(mb)
1482,2003,7,19,22,12,0,-5.63,-35.6,0.0,5,2.6,1,I,-,,MR,3.24,2.2,0.3,RN,Taipu,(UFRN),Mw(mb)
1483,2003,7,20,0,32,0,-5.63,-35.6,0.0,5,2.7,1,I,-,,MR,3.325,2.3,0.3,RN,Taipu,(UFRN),Mw(mb)
1484,2003,7,20,0,43,0,-5.63,-35.6,0.0,5,2.1,1,I,-,,MR,2.815,1.6,0.3,RN,Taipu,(UFRN),Mw(mb)
1485,2003,7,20,9,7,0,-5.63,-35.6,0.0,5,2.6,1,I,-,,MR,3.24,2.2,0.3,RN,Taipu,(UFRN),Mw(mb)
1486,2003,7,23,0,12,0,-5.63,-35.6,0.0,5,2.1,1,I,-,,MR,2.815,1.6,0.3,RN,Taipu,(UFRN),Mw(mb)
1487,2003,7,23,1,6,0,-5.63,-35.6,0.0,5,2.2,1,I,-,,MR,2.9,1.7,0.3,RN,Taipu,(UFRN),Mw(mb)
1488,2003,7,26,0,51,21,-24.05,-42.36,0.0,20,3.4,1,I,-,,MR,3.92,3.1,0.3,SP,Margem Cont.,(IAG),Mw(mb)
1489,2003,7,31,11,34,11,-13.54,-44.59,0.0,30,2.9,1,I,-,,MR,3.495,2.5,0.3,BA,Correntina,(IAG),Mw(mb)
1490,2003,7,31,14,43,40,-13.49,-44.59,0.0,30,3.0,1,I,-,,MR,3.58,2.6,0.3,BA,Correntina,(IAG),Mw(mb)
1491,2003,7,31,15,29,57,-13.58,-44.6,0.0,30,2.9,1,I,-,,MR,3.495,2.5,0.3,BA,Correntina,(IAG),Mw(mb)
1492,2003,10,10,17,17,6,-24.02,-45.97,0.0,40,2.2,1,I,-,,MR,2.9,1.7,0.3,RJ,PLAT. CONT,(ESAR),Mw(mb)
1493,2003,10,28,22,54,57,-17.38,-56.22,0.0,20,2.9,1,I,-,,MR,3.495,2.5,0.3,MT,SSW-Pocone,(IAG),Mw(mb)
1494,2003,10,28,23,21,55,-17.38,-56.22,0.0,50,3.5,1,I,-,,MR,4.005,3.2,0.3,MT,SSW-Pocone,(IAG),Mw(mb)
1495,2003,11,15,0,20,27,-8.34,-50.04,0.0,20,3.9,1,I,-,,MR,4.345,3.6,0.3,PA,Con.Araguaia,(IAG),Mw(mb)
1496,2003,12,3,23,33,47,-9.61,-34.28,0.0,30,3.3,1,I,-,,MR,3.835,2.9,0.3,AL,Margem Cont.,(IAG),Mw(mb)
1497,2003,12,8,10,21,0,-8.26,-35.96,0.0,5,2.4,1,I,-,,MR,3.07,1.9,0.3,PE,Caruaru,(UFRN),Mw(mb)
1498,2003,12,24,20,12,55,-7.4,-72.7,28.0,100,3.4,0,I,-,,mb,3.92,3.1,0.3,AC,Acre,(ISC),Mw(mb)
1499,2004,1,11,10,34,20,-8.33,-36.58,0.0,20,2.7,1,I,-,,MR,3.325,2.3,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1500,2004,1,12,4,51,50,-6.57,-38.8,0.0,50,3.2,1,I,-,,MR,3.75,2.8,0.3,CE,Icoh,(IAG),Mw(mb)
1501,2004,1,13,8,18,0,-8.33,-36.58,0.0,20,2.4,1,I,-,,MR,3.07,1.9,0.3,PE,Belo Jardim,(UFRN),Mw(mb)
1502,2004,2,3,1,7,0,-8.26,-35.96,0.0,5,2.5,1,I,-,,MR,3.155,2.0,0.3,PE,Caruaru,(UFRN),Mw(mb)
1503,2004,2,6,5,55,20,-4.98,-39.74,0.0,50,2.8,1,I,-,,MR,3.41,2.4,0.3,CE,Guia,(IAG),Mw(mb)
1504,2004,2,27,19,50,7,-24.84,-45.71,0.0,0,2.6,1,I,-,,MR,3.24,2.2,0.3,SP,Margem Cont.,(IAG-ESAR;IPT),Mw(mb)
1505,2004,3,12,2,50,2,-8.22,-38.37,0.0,0,2.2,1,I,-,,MR,2.9,1.7,0.3,PE,Carqueja,(IAG),Mw(mb)
1506,2004,3,17,23,28,58,-18.4,-56.21,0.0,100,3.0,1,I,-,,MR,3.58,2.6,0.3,MS,Paiaguas,(IAG),Mw(mb)
1507,2004,5,16,14,29,37,-25.22,-44.72,0.0,50,3.9,1,I,-,,MR,4.345,3.6,0.3,SP,Margem Cont.,(IAG;IPT;UNESP-RC),Mw(mb)
1508,2004,5,21,11,57,0,-8.33,-36.58,0.0,20,2.5,1,I,-,,MR,3.155,2.0,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1509,2004,5,21,13,6,0,-8.33,-36.58,0.0,20,2.3,1,I,-,,MR,2.985,1.8,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1510,2004,5,21,16,29,0,-8.33,-36.58,0.0,20,2.0,1,I,-,,MR,2.73,1.5,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1511,2004,5,22,0,10,0,-8.33,-36.58,0.0,20,2.0,1,I,-,,MR,2.73,1.5,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1512,2004,5,22,0,11,0,-8.33,-36.58,0.0,20,2.2,1,I,-,,MR,2.9,1.7,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1513,2004,5,22,0,23,0,-8.33,-36.58,0.0,20,2.3,1,I,-,,MR,2.985,1.8,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1514,2004,5,22,21,40,0,-8.33,-36.58,0.0,20,2.3,1,I,-,,MR,2.985,1.8,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1515,2004,5,30,3,26,29,-23.17,-42.15,0.0,50,2.5,1,I,-,,MR,3.155,2.0,0.3,RJ,Margem Cont.,(IAG;IPT),Mw(mb)
1516,2004,5,30,17,1,0,-8.33,-36.58,0.0,20,2.2,1,I,-,,MR,2.9,1.7,0.3,PE,Belo Jardim,(IAG;UFRN),Mw(mb)
1517,2004,6,1,4,3,11,-22.99,-41.89,0.0,50,2.3,5,I,-,,Ind,2.985,1.7,0.3,RJ,MARGEM CONT,(IAG;IPT),Mw(mb)
1518,2004,6,1,12,11,0,-8.33,-36.58,0.0,5,3.1,1,I,-,,MR,3.665,2.7,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1519,2004,6,2,11,45,0,-8.33,-36.58,0.0,5,2.3,1,I,-,,MR,2.985,1.8,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1520,2004,6,2,11,56,0,-8.33,-36.58,0.0,5,2.0,1,I,-,,MR,2.73,1.5,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1521,2004,6,7,23,25,0,-8.33,-36.58,0.0,5,2.5,1,I,-,,MR,3.155,2.0,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1522,2004,6,9,2,34,0,-8.33,-36.58,0.0,5,2.1,1,I,-,,MR,2.815,1.6,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1523,2004,6,9,11,36,0,-8.33,-36.58,0.0,5,2.0,1,I,-,,MR,2.73,1.5,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1524,2004,6,9,12,30,0,-8.33,-36.58,0.0,5,2.9,1,I,-,,MR,3.495,2.5,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1525,2004,6,10,2,31,0,-8.33,-36.58,0.0,5,2.3,1,I,-,,MR,2.985,1.8,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1526,2004,6,10,3,20,0,-8.33,-36.58,0.0,5,2.0,1,I,-,,MR,2.73,1.5,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1527,2004,6,14,11,7,0,-8.33,-36.58,0.0,5,2.0,1,I,-,,MR,2.73,1.5,0.3,PE,Belo Jardim,(UFRN;IAG),Mw(mb)
1528,2004,6,24,12,18,32,-26.21,-61.87,44.0,30,3.4,5,I,-,,Ind,3.92,1.5,0.3,AR,Argentina,(SJA/INPRES),Mw(mb)
1529,2004,7,6,14,44,16,-3.2,-72.92,15.0,40,4.0,0,I,-,,mb,4.43,3.7,0.3,AC,Peru/Brasil,(ISC),Mw(mb)
1530,2004,8,24,8,14,49,-4.37,-38.48,0.0,10,3.3,1,I,-,,MR,3.835,2.9,0.3,CE,Cascavel,(UFRN;UnB;IAG),Mw(mb)
1531,2004,9,6,20,13,28,-17.2,-56.2,0.0,100,2.8,1,I,-,,MR,3.41,2.4,0.3,MT,SE-Poconeh,(IAG),Mw(mb)
1532,2004,9,18,8,44,0,-5.46,-35.69,0.0,10,2.6,1,I,-,,MR,3.24,2.2,0.3,RN,Pureza,(UFRN),Mw(mb)
1533,2004,11,25,13,10,36,-21.22,-50.47,0.0,50,3.2,5,I,-,,Ind,3.75,2.2,0.3,SP,ARACATUBA,(IPT),Mw(mb)
1534,2004,12,26,0,39,53,-16.22,-55.95,0.0,20,3.2,1,I,3,,MR,3.75,2.8,0.3,MT,Barao Melgaco,(IAG),Mw(mb)
1535,2004,12,27,14,24,5,-22.23,-44.8,0.0,20,2.2,1,I,-,,MR,2.9,1.7,0.3,SP,CRUZEIRO,(ESAR),Mw(mb)
1536,2005,3,11,5,38,26,-21.06,-48.5,0.0,1,2.7,1,I,4,,MR,3.325,2.3,0.3,SP,Bebedouro,(IAG;UNESP-RC),Mw(mb)
1537,2005,3,23,21,11,59,-11.6,-56.76,3.0,4,5.0,0,I,5-6,,mb,5.28,4.8,0.3,MT,Pto. dos Gauchos,(UnB; Barros etal.2009) pGT H.O.=AK135,Mw(mb)
1538,2005,3,30,11,41,44,-21.06,-48.5,1.0,1,2.9,1,I,5,0.7,MR,3.495,2.5,0.33,SP,Bebedouro,(IAG;UNESP-RC),0.7Mw(mb)+0.3Mw(Af)
1539,2005,4,2,15,25,17,-21.06,-48.5,1.0,1,2.8,1,I,5,,MR,3.41,2.4,0.3,SP,Bebedouro,(IAG;UNESP-RC),Mw(mb)
1540,2005,4,3,13,44,59,-8.8,-33.19,0.0,50,3.0,1,I,-,,MR,3.58,2.6,0.3,PE,Margem Cont.,(IAG;UFRN),Mw(mb)
1541,2005,4,8,23,34,22,-21.03,-47.29,0.0,30,3.1,1,I,-,,MR,3.665,2.7,0.3,SP,SBenedAreias,(IAG;IPT),Mw(mb)
1542,2005,6,6,5,1,0,-4.35,-38.36,0.0,10,3.0,1,I,-,,MR,3.58,2.6,0.3,CE,Chorozinho,(UFRN),Mw(mb)
1543,2005,6,18,11,10,0,-4.35,-38.36,0.0,10,3.1,1,I,-,,MR,3.665,2.7,0.3,CE,Chorozinho,(UFRN),Mw(mb)
1544,2005,6,27,14,37,0,-5.71,-37.86,0.0,5,2.3,1,I,-,,MR,2.985,1.8,0.3,RN,Apodi,(UFRN),Mw(mb)
1545,2005,7,10,8,7,3,-16.81,-54.96,0.0,30,3.0,1,I,-,,MR,3.58,2.6,0.3,MT,Anhumas,(IAG),Mw(mb)
1546,2005,7,20,16,43,6,-11.6,-56.78,0.0,30,4.3,1,I,4,,MR,4.685,4.1,0.3,MT,Porto dos Gauchos,(UnB;IAG),Mw(mb)
1547,2005,7,23,0,0,0,-5.71,-37.86,0.0,5,2.0,1,I,-,,MR,2.73,1.5,0.3,RN,Apodi,(UFRN),Mw(mb)
1548,2005,8,26,13,57,0,-5.89,-37.31,0.0,10,2.0,1,I,-,,MR,2.73,1.5,0.3,RN,Campo Grande,(UFRN) ex Augusto Severo,Mw(mb)
1549,2005,9,24,20,38,1,-11.88,-57.4,0.0,30,3.9,1,I,-,,MR,4.345,3.6,0.3,MT,P.Gauchos,(IAG),Mw(mb)
1550,2005,12,14,11,40,0,-5.56,-35.57,0.0,10,2.0,1,I,-,,MR,2.73,1.5,0.3,RN,Taipu,(UFRN) sentido,Mw(mb)
1551,2005,12,26,13,41,45,-25.03,-45.26,0.0,50,2.0,1,I,-,,MR,2.73,1.5,0.3,SP,PLAT. CONT,(ESAR),Mw(mb)
1552,2005,12,31,5,32,46,-22.53,-46.77,0.0,50,2.1,1,I,-,,MR,2.815,1.6,0.3,SP,SERRA NEGRA,(ESAR),Mw(mb)
1553,2006,1,3,19,29,52,-21.69,-42.38,0.0,50,2.1,1,I,-,,MR,2.815,1.6,0.3,MG,LEOPOLDINA,(ESAR),Mw(mb)
1554,2006,1,4,22,54,37,-24.41,-50.7,0.0,20,4.1,1,I,4,13.0,MR,4.515,3.7,0.33,PR,Telem.Borba,(IAG;UNESP-RC;IPT;UnB),0.7Mw(mb)+0.3Mw(Af)
1555,2006,1,4,22,56,10,-24.43,-50.7,0.0,20,3.3,1,I,-,,MR,3.835,2.9,0.3,PR,Telem.Borba,(IAG;UNESP-RC;IPT;UnB),Mw(mb)
1556,2006,1,8,1,54,55,-10.07,-36.93,0.0,10,3.4,1,I,5,,MR,3.92,3.1,0.3,AL,Sao Bras,(UnB;UFRN;IAG)2 replicas,Mw(mb)
1557,2006,1,10,19,3,41,-21.64,-46.86,0.0,30,3.0,1,I,2,,MR,3.58,2.6,0.3,SP,S.Jose do Rio Pardo,(IAG;UnB;UNESP-RC;IPT),Mw(mb)
1558,2006,1,16,0,0,0,-7.33,-35.33,0.0,10,2.6,1,I,-,,MR,3.24,2.2,0.3,PB,Itabaiana,(UFRN),Mw(mb)
1559,2006,2,24,7,42,0,-14.15,-47.48,0.0,30,2.6,1,I,4-5,,MR,3.24,2.2,0.3,GO,Alto Paraiso,(UnB),Mw(mb)
1560,2006,2,28,8,18,40,-13.04,-48.43,0.0,30,2.7,1,I,5,,MR,3.325,2.3,0.3,TO,Palmeiropoli,(UnB),Mw(mb)
1561,2006,3,22,14,3,0,-21.41,-50.08,0.0,10,2.5,1,I,3-4,,MR,3.155,2.0,0.3,SP,Penapolis,(UNESP-RC),Mw(mb)
1562,2006,3,29,0,0,0,-14.18,-40.11,0.0,10,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,BA,Jequieh,(UFRN) Oriente Novo; varios desde jan,Mw(mb(I0))
1563,2006,4,4,4,0,57,-20.95,-45.71,0.0,30,2.5,1,I,-,,MR,3.155,2.0,0.3,MG,CarmoR.Claro,(IAG;IPT),Mw(mb)
1564,2006,4,10,17,11,13,-21.05,-45.4,0.0,30,2.7,1,I,-,,MR,3.325,2.3,0.3,MG,Aguanil,(IAG;IPT),Mw(mb)
1565,2006,4,22,2,29,19,-16.31,-53.3,0.0,50,2.8,5,I,-,,Ind,3.41,2.3,0.3,MT,Guiratinga,(IAG),Mw(mb)
1566,2006,5,14,14,7,46,-16.72,-42.58,0.0,5,3.0,1,I,-,,MR,3.58,2.6,0.3,MG,Irapeh,(UnB) induzido por reservatorio,Mw(mb)
1567,2006,5,18,23,41,0,-8.26,-36.16,0.0,5,2.5,1,I,-,,MR,3.155,2.0,0.3,PE,Sao Caetano,(UFRN),Mw(mb)
1568,2006,5,20,4,26,5,-8.26,-36.16,6.0,4,3.9,1,I,5-6,,MR,4.345,3.6,0.3,PE,Sao Caetano,(UFRN; Neto_etal.2009) RCBR-mR=3.77; IDC=,Mw(mb)
1569,2006,6,8,16,29,13,4.88,-51.96,3.0,15,5.2,0,I,-,,mb,5.45,5.1,0.3,AP,Caiena,(ISC;UnB;IAG) Oiapoque IIMM,Mw(mb)
1570,2006,6,14,7,30,0,-4.41,-38.29,0.0,2,2.6,1,I,-,,MR,3.24,2.2,0.3,CE,Cascavel,(UFRN),Mw(mb)
1571,2006,6,17,1,11,57,-22.23,-51.26,0.0,20,3.2,1,I,4-5,,MR,3.75,2.8,0.3,SP,Regente Feijo,(IAG;UnB;UNESP-RC;IPT),Mw(mb)
1572,2006,6,28,8,0,0,-4.41,-38.29,0.0,2,3.1,1,I,-,,MR,3.665,2.7,0.3,CE,Cascavel,(UFRN),Mw(mb)
1573,2006,7,1,14,39,4,-21.08,-46.71,0.0,60,2.1,1,I,-,,MR,2.815,1.6,0.3,MG,JACUI,(ESAR),Mw(mb)
1574,2006,7,20,17,20,0,-8.26,-36.16,0.0,5,3.3,1,I,-,,MR,3.835,2.9,0.3,PE,Sao Caetano,(UFRN),Mw(mb)
1575,2006,8,30,0,0,0,-10.51,-37.06,0.0,10,2.5,5,I,-,,Ind,3.155,2.9,0.3,SE,Capela,(UFRN) sentido,Mw(mb)
1576,2006,9,1,13,55,0,-8.26,-36.16,0.0,5,3.6,1,I,-,,MR,4.09,3.3,0.3,PE,Sao Caetano,(UFRN),Mw(mb)
1577,2006,9,2,23,56,0,-5.0,-35.0,0.0,30,4.0,1,I,-,,MR,4.43,3.7,0.3,RN,Plataforma,(UFRN) sentido em Natal,Mw(mb)
1578,2006,11,16,8,8,6,-22.28,-39.78,0.0,30,2.9,1,I,-,,MR,3.495,2.5,0.3,RJ,Margem Cont.,(IAG),Mw(mb)
1579,2006,11,26,2,11,57,-22.04,-40.25,0.0,30,3.6,1,I,-,,MR,4.09,3.3,0.3,RJ,Margem Cont.,(IAG;UnB;IPT),Mw(mb)
1580,2007,3,12,15,0,0,-19.95,-44.16,0.0,50,2.2,5,I,-,,Ind,2.9,3.3,0.3,MG,BETIM,(UnB),Mw(mb)
1581,2007,3,20,13,38,52,-8.264,-36.161,5.0,1,3.9,1,I,-,,MR,4.345,3.6,0.3,PE,Sao Caetano,(UFRN=3.9;IAG=3.8; 5-sta local net),Mw(mb)
1582,2007,3,20,14,22,0,-8.26,-36.16,0.0,5,3.4,1,I,-,,MR,3.92,3.1,0.3,PE,Sao Caetano,(UFRN),Mw(mb)
1583,2007,3,23,4,41,0,-8.26,-36.16,0.0,5,2.6,1,I,-,,MR,3.24,2.2,0.3,PE,Sao Caetano,(UFRN),Mw(mb)
1584,2007,3,26,0,44,17,-8.26,-36.16,0.0,5,3.3,1,I,-,,MR,3.835,2.9,0.3,PE,Sao Caetano,(UFRN=3.1;IAG=3.4),Mw(mb)
1585,2007,3,27,19,45,49,-26.66,-46.88,0.0,30,3.5,1,I,-,,MR,4.005,3.2,0.3,SC,Margem Cont.,(IAG;UnB;IPT),Mw(mb)
1586,2007,3,28,15,4,0,-8.33,-36.58,0.0,30,2.8,1,I,-,,MR,3.41,2.4,0.3,PE,Belo Jardim,(IAG=2.8),Mw(mb)
1587,2007,4,15,2,0,0,-3.23,-40.13,0.0,30,2.9,1,I,-,,MR,3.495,2.5,0.3,CE,Morrinhos,(UnB),Mw(mb)
1588,2007,5,13,13,0,55,-21.06,-48.5,0.0,50,2.2,5,I,-,,Ind,2.9,2.5,0.3,SP,BEBEDOURO,(IAG;UNESP),Mw(mb)
1589,2007,5,24,15,30,58,-15.0,-44.3,0.0,10,3.8,1,I,4-5,,MR,4.26,3.5,0.3,MG,Januaria,(IAG=3.5;UnB=3.5USGS=4.4h=10G),Mw(mb)
1590,2007,6,25,2,26,38,-5.28,-38.28,0.0,5,2.1,1,I,-,,MR,2.815,1.6,0.3,CE,Castanhao,(UFRN),Mw(mb)
1591,2007,7,10,9,29,25,-5.28,-38.28,0.0,5,2.3,1,I,-,,MR,2.985,1.8,0.3,CE,Castanhao,(UFRN),Mw(mb)
1592,2007,7,14,5,33,32,-19.56,-46.29,0.0,5,3.5,1,I,3-4,,MR,4.005,3.2,0.3,MG,Ibia;Pratinha,(UnB;IAG;UNESP-RC;IPT),Mw(mb)
1593,2007,7,18,0,0,0,-7.63,-72.67,0.0,5,3.0,4,C,4,,M(Io),3.58,2.6,0.6,AC,CruzeiroSul,(IAG),Mw(mb(I0))
1594,2007,7,27,18,37,0,-21.95,-48.68,0.0,0,2.5,5,I,3,,Ind,3.155,2.6,0.6,SP,Bariri,(UNESP-RC;IAG),Mw(mb(I0))
1595,2007,9,5,4,9,8,-24.62,-43.28,0.0,40,2.3,1,I,-,,MR,2.985,1.8,0.3,RJ,PLAT. CONT,(ESAR),Mw(mb)
1596,2007,9,13,10,40,2,-5.92,-38.05,5.0,2,3.2,1,I,5,,MR,3.75,2.8,0.3,RN,Tabuleiro Grande,(UFRN;IAG:ITR=3.3),Mw(mb)
1597,2007,10,25,22,30,0,-11.35,-41.66,0.0,20,3.0,4,C,4,,M(Io),3.58,2.6,0.6,BA,Joao Dourado,(Jornal.....),Mw(mb(I0))
1598,2007,10,31,21,15,55,3.5,-48.12,0.0,10,5.1,0,I,-,,mb,5.365,5.0,0.3,AP,Plat. Continental,(USGS),Mw(mb)
1599,2007,12,9,2,3,28,-15.033,-44.295,0.7,2,4.9,0,I,7,11.2,mb,5.195,4.4,0.33,MG,Itacarambi,(ISC; Chimpliganond etal.2010) GT5,0.7Mw(mb)+0.3Mw(Af)
1600,2008,1,16,20,23,45,-22.0,-40.1,0.0,50,2.6,5,I,-,,Ind,3.24,4.4,0.33,RJ,PLAT. CONT,(IAG),0.7Mw(mb)+0.3Mw(Af)
1601,2008,1,28,15,46,0,-3.63,-40.51,0.0,5,2.5,1,I,3,,MR,3.155,2.0,0.3,CE,S.da Meruoca,(UFRN),Mw(mb)
1602,2008,2,2,22,36,0,-3.63,-40.51,0.0,5,2.8,1,I,-,,MR,3.41,2.4,0.3,CE,S.da Meruoca,(UFRN)varios evts.,Mw(mb)
1603,2008,2,8,19,5,14,-24.56,-44.89,0.0,20,3.9,1,I,-,,MR,4.345,3.6,0.3,SP,Plataf.Cont.,(IAG;UNESP-RC),Mw(mb)
1604,2008,2,15,18,0,0,-6.14,-39.88,0.0,5,2.3,1,I,2-3,,MR,2.985,1.8,0.3,CE,Catarina,(UFRN;Diario do Nordeste),Mw(mb)
1605,2008,2,17,1,57,0,-3.63,-40.51,0.0,5,3.7,1,I,4,,MR,4.175,3.4,0.3,CE,S.d.Meruoca,(UFRN;UnB),Mw(mb)
1606,2008,2,29,4,48,0,-3.63,-40.51,0.0,5,3.7,1,I,-,,MR,4.175,3.4,0.3,CE,S.da Meruoca,(UFRN) muitos tremores...,Mw(mb)
1607,2008,3,1,0,58,0,-3.63,-40.51,0.0,5,3.4,1,I,-,,MR,3.92,3.1,0.3,CE,S.da Meruoca,(UFRN),Mw(mb)
1608,2008,3,4,11,45,0,-3.63,-40.51,0.0,5,2.4,1,I,-,,MR,3.07,1.9,0.3,CE,S.da Meruoca,(UFRN),Mw(mb)
1609,2008,3,5,20,3,0,-3.63,-40.51,0.0,5,2.8,1,I,-,,MR,3.41,2.4,0.3,CE,S.da Meruoca,(UFRN),Mw(mb)
1610,2008,3,10,18,17,42,-23.72,-46.32,0.0,40,2.1,1,I,-,,MR,2.815,1.6,0.3,SP,RIBEIRAO PIRES,(ESAR),Mw(mb)
1611,2008,3,15,3,32,30,-24.99,-45.37,0.0,50,2.2,1,I,-,,MR,2.9,1.7,0.3,SP,PLAT. CONT,(ESAR),Mw(mb)
1612,2008,3,19,22,12,0,-15.07,-44.09,1.0,5,3.8,1,I,-,,MR,4.26,3.5,0.3,MG,Itacarambi,(UnB) mag Chimpliganond-2010,Mw(mb)
1613,2008,3,21,6,20,0,-3.63,-40.51,0.0,5,2.9,1,I,-,,MR,3.495,2.5,0.3,CE,S.da Meruoca,(UFRN),Mw(mb)
1614,2008,3,21,11,16,0,-3.63,-40.51,0.0,5,2.2,1,I,-,,MR,2.9,1.7,0.3,CE,S.da Meruoca,(UFRN),Mw(mb)
1615,2008,4,4,17,7,0,-3.63,-40.51,0.0,5,3.5,1,I,-,,MR,4.005,3.2,0.3,CE,S.da Meruoca,(UFRN) mag=3.9? mR=2.8; conferir!!!,Mw(mb)
1616,2008,4,8,17,31,13,-23.59,-46.33,0.0,40,2.2,1,I,-,,MR,2.9,1.7,0.3,SP,RIBEIRAO PIRES,(ESAR),Mw(mb)
1617,2008,4,20,6,39,54,-24.8,-40.89,0.0,10,3.6,1,I,-,,MR,4.09,3.3,0.3,SP,Plataf.Continental,(IAG;IPT),Mw(mb)
1618,2008,4,23,0,0,48,-25.7,-45.41,17.0,10,5.2,1,I,4-5,720.0,MR,5.45,5.1,0.33,SP,Plataforma Continental,(IAG;IPT;UnB;UNESP),0.7Mw(mb)+0.3Mw(Af)
1619,2008,4,23,0,19,42,-25.7,-45.41,0.0,50,2.1,5,I,-,,Ind,2.815,5.1,0.33,SP,Plat. Continental,(IPT) replica,0.7Mw(mb)+0.3Mw(Af)
1620,2008,4,23,0,16,52,-25.7,-45.41,0.0,50,2.7,5,I,-,,Ind,3.325,5.1,0.33,SP,Plat. Continental,(IPT) replica,0.7Mw(mb)+0.3Mw(Af)
1621,2008,5,1,8,36,0,-3.63,-40.51,0.0,5,3.1,1,I,-,,MR,3.665,2.7,0.3,CE,S.da Meruoca,(UFRN),Mw(mb)
1622,2008,5,3,9,9,55,-22.48,-39.89,0.0,30,3.4,1,I,-,,MR,3.92,3.1,0.3,RJ,Plataf.Cont.,(IAG;IPT),Mw(mb)
1623,2008,5,13,19,48,12,-23.72,-46.3,0.0,40,2.0,1,I,-,,MR,2.73,1.5,0.3,SP,RIBEIRAO PIRES,(ESAR),Mw(mb)
1624,2008,5,15,20,7,5,-21.43,-42.64,0.0,50,2.1,1,I,-,,MR,2.815,1.6,0.3,MG,CATAGUASES,(ESAR),Mw(mb)
