,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,M_TYPE,MW_SCOR,MW_BRProxy,s_MW_BRProxy,ST,Locality,(Reference) Comments,t_MW_BRProxy
100,1959,5,29,6,55,0,-21.26,-48.69,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,SP,FERN.PRESTES,INDUZIDO POCO ARTESIANO?,Mw(mb(I0))
101,1961,10,3,20,35,54,0.4,-63.0,0.0,100,4.0,0,I,-,,mb,4.43,3.7,0.3,AM,N AMAZONAS,(CARACAS; TRINID.-TOBAGO),Mw(mb)
102,1962,1,17,2,27,44,-22.93,-43.23,0.0,3,3.2,3,B,5,0.3,M(Af),3.75,2.4,0.4,RJ,Rio de JANEIRO,reg. RDJ,Mw(Af)
103,1963,8,27,0,0,0,-5.69,-36.24,0.0,0,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,RN,LAJES,,Mw(mb(I0))
104,1963,9,3,0,0,0,-5.69,-36.24,0.0,0,3.7,3,C,-,3.0,M(Af),4.175,3.1,0.4,RN,LAJES,SENT.J.CAMARA;AREA APROX.,Mw(Af)
105,1963,10,2,0,0,0,-5.69,-36.24,0.0,0,3.9,4,C,6,,M(Io),4.345,3.6,0.6,RN,LAJES,,Mw(mb(I0))
106,1963,12,14,0,5,41,-2.36,-61.02,45.0,30,5.1,0,C,-,,mb,5.365,5.0,0.3,AM,MANAUS,(ISC) EHB RELOCAL.,Mw(mb)
107,1964,1,19,0,0,0,-8.28,-35.96,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,PE,CARUARU,TRES EVENTOS;10-12 HORAS?,Mw(mb(I0))
108,1964,2,13,11,21,46,-18.06,-56.69,5.0,30,5.4,0,I,-,240.0,mb,5.62,5.1,0.33,MS,NW DE MS,RELOCAL.; CAMPO GRANDE = V MM,0.7Mw(mb)+0.3Mw(Af)
109,1964,3,21,0,0,0,-20.51,-45.59,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,MG,PONTEVILA,DOIS EVENTOS,Mw(mb(I0))
110,1964,6,16,0,0,0,-8.28,-35.96,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,PE,CARUARU,VARIOS EVENTOS,Mw(mb(I0))
111,1964,6,19,3,56,20,2.64,-59.62,0.0,50,4.5,0,I,-,,mb,4.855,4.3,0.3,RR,RR/GUIANA,(ISC) RELOCAL.,Mw(mb)
112,1965,8,12,0,0,0,-19.94,-44.72,0.0,20,3.3,3,C,-,0.5,M(Af),3.835,2.6,0.4,MG,IGARATINGA,DIA INCERTO,Mw(Af)
113,1965,8,15,19,36,56,2.68,-60.12,0.0,30,4.9,0,I,-,,mb,5.195,4.7,0.3,RR,SE DE RR,(ISC); RELOCAL.; SEM PP,Mw(mb)
114,1966,11,15,8,0,0,-20.8,-46.0,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,MG,REG. FURNAS,VARIOS;INDUZ.P.RESERVAT.?,Mw(mb(I0))
115,1967,1,21,18,59,48,-8.2,-35.98,0.0,10,3.8,1,B,5,7.0,MR,4.26,3.5,0.33,PE,CARUARU,(UFRN),0.7Mw(mb)+0.3Mw(Af)
116,1967,3,23,21,12,15,-23.3,-45.0,0.0,20,4.1,0,A,6-7,30.0,mb,4.515,3.8,0.33,SP,CUNHA,registrado em AREQUIPA,0.7Mw(mb)+0.3Mw(Af)
117,1967,8,5,9,56,10,-22.85,-43.12,0.0,10,3.6,1,B,5-6,2.7,MR,4.09,3.2,0.33,RJ,SAO GONCALO,,0.7Mw(mb)+0.3Mw(Af)
118,1967,8,9,7,14,8,-8.45,-73.83,42.0,30,5.1,0,I,-,,mb,5.365,5.0,0.3,AC,PERU-BRASIL,,Mw(mb)
119,1967,8,18,21,24,24,-21.3,-60.6,0.0,100,4.7,0,I,-,,mb,5.025,4.5,0.3,PY,PARAGUAI,(ISC),Mw(mb)
120,1968,1,13,1,55,51,-6.09,-38.44,0.0,10,3.9,2,C,6,25.0,M(bR),4.345,3.7,0.33,CE,PEREIRO,(UFRN),0.7Mw(mb)+0.3Mw(Af)
121,1968,1,13,1,58,0,-6.04,-38.46,0.0,0,2.8,4,C,3-4,,M(Io),3.41,2.4,0.6,CE,PEREIRO,,Mw(mb(I0))
122,1968,1,18,10,40,0,-6.09,-38.44,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,RN,SALAO,DIA INCERTO,Mw(mb(I0))
123,1968,2,4,0,0,0,-6.11,-38.44,0.0,0,3.2,4,C,4-5,,M(Io),3.75,2.9,0.6,RN,JUNCO,,Mw(mb(I0))
124,1968,2,15,13,20,48,-6.09,-38.44,0.0,10,4.1,2,B,6,11.0,M(bR),4.515,3.7,0.33,CE,PEREIRO,(UFRN),0.7Mw(mb)+0.3Mw(Af)
125,1968,2,23,14,23,2,-6.09,-38.44,0.0,5,4.6,2,A,7,84.0,M(bR),4.94,4.3,0.33,CE,PEREIRO,(UFRN;IAG;ISC),0.7Mw(mb)+0.3Mw(Af)
126,1968,2,23,14,37,1,-6.09,-38.44,0.0,10,3.0,1,C,-,,MR,3.58,2.6,0.3,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,Mw(mb)
127,1968,2,23,15,21,16,-6.09,-38.44,0.0,10,3.0,1,C,-,,MR,3.58,2.6,0.3,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,Mw(mb)
128,1968,2,23,15,33,3,-6.09,-38.44,0.0,10,3.8,2,C,-,,M(bR),4.26,3.5,0.3,CE,PEREIRO,(UFRN) EPICENTRO INFERIDO,Mw(mb)
129,1968,3,1,0,0,0,-6.92,-39.58,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,CE,FARIAS BRITO,,Mw(mb(I0))
130,1968,3,18,0,0,0,-6.04,-38.46,0.0,0,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,CE,PEREIRO,,Mw(mb(I0))
131,1968,8,27,5,17,36,-8.9,-72.89,26.0,30,4.9,0,I,-,,mb,5.195,4.7,0.3,AC,W DO ACRE,(ISC H=50 ?),Mw(mb)
132,1968,10,15,19,54,20,-26.87,-60.88,20.0,30,5.0,4,I,6,,M(Io),5.28,3.6,0.6,AR,Campo Largo; Chaco,(SJA;ZON/INPRES),Mw(mb(I0))
133,1969,1,1,16,0,0,-16.45,-54.64,0.0,0,2.3,4,C,2-3,,M(Io),2.985,1.9,0.6,MT,RONDONOPOLIS,ANO INCERTO; 1974?,Mw(mb(I0))
134,1969,3,5,16,28,55,-23.1,-60.6,0.0,100,4.1,0,I,-,,mb,4.515,3.8,0.3,PY,PARAGUAI,(ISC),Mw(mb)
135,1970,1,12,4,43,8,-1.32,-48.48,0.0,30,4.5,2,B,6-7,10.0,M(bR),4.855,4.0,0.33,PA,BELEM,(ISC;IAG;UnB) MAIS 4 EV.,0.7Mw(mb)+0.3Mw(Af)
136,1970,1,29,0,0,0,-7.96,-36.21,0.0,0,3.9,4,C,6,,M(Io),4.345,3.6,0.6,PE,S.C.CAPIBARI,DOIS EVENTOS,Mw(mb(I0))
137,1970,1,30,0,0,0,-7.96,-36.21,0.0,0,3.5,4,C,5,,M(Io),4.005,3.1,0.6,PE,S.C.CAPIBARI,,Mw(mb(I0))
138,1970,3,29,8,27,48,-8.29,-73.38,25.0,50,4.3,0,I,-,,mb,4.685,4.1,0.3,AC,SA. DIVISOR,(ISC),Mw(mb)
139,1970,8,14,4,59,1,-13.5,-49.1,0.0,50,3.0,5,I,-,,Ind,3.58,4.1,0.3,GO,PORANGATU,(BERROCAL 1974) N. SENT.,Mw(mb)
140,1970,11,1,0,0,0,-6.93,-35.53,0.0,0,3.9,4,C,6,,M(Io),4.345,3.6,0.6,PB,ALAGOINHA,,Mw(mb(I0))
141,1970,11,20,23,55,21,-13.5,-49.1,0.0,50,3.6,5,I,-,,Ind,4.09,3.6,0.6,GO,PORANGATU,(BERROCAL 1974) N. SENT.,Mw(mb(I0))
142,1970,12,1,0,0,0,-20.28,-44.75,0.0,3,3.4,3,B,4,0.7,M(Af),3.92,2.7,0.4,MG,Carmo do CAJURU,INDUZIDO,Mw(Af)
143,1971,2,11,0,0,0,-25.1,-48.9,0.0,0,3.0,4,C,4,,M(Io),3.58,2.6,0.6,PR,CAPIVARI-CACHOEIRA,INDUZIDO POR RESERVATORIO,Mw(mb(I0))
144,1971,3,1,0,0,0,-25.25,-48.8,0.0,0,3.7,4,C,5-6,,M(Io),4.175,3.4,0.6,PR,CAPIVARI-CACHOEIRA,VARIOS; INDUZ.P.RESERVAT.,Mw(mb(I0))
145,1971,5,5,15,32,2,-17.0,-53.8,0.0,100,3.6,1,I,-,,MR,4.09,3.3,0.3,MT,ALTO GARCAS,(UnB; mag=3.35+0.25) SENT. RONDONOPOLIS?,Mw(mb)
146,1971,5,21,16,0,0,-25.1,-48.9,0.0,0,3.9,4,C,6,,M(Io),4.345,3.6,0.6,PR,CAPIV-CACHOE,INDUZIDO POR RESERVATORIO,Mw(mb(I0))
147,1971,7,16,19,51,4,-13.5,-49.1,0.0,50,3.5,5,I,-,,Ind,4.005,3.6,0.6,GO,PORANGATU,(BERROCAL 1974) N. SENT.,Mw(mb(I0))
