,YEAR,MO,DD,HH,MI,SS,LATITUDE,LONG.,DEPTH,ERR,MAG,MT,Q,Io,Area,ST,Locality,(Reference) Comments,MW_BRProxy,s_MW_BRProxy,t_MW_BRProxy
501,1989,11,26,11,21,26,-0.24,-49.86,0.0,20,4.0,1,I,3-4,,PA,Chaves,(UnB;IAG;J.Est.S.Paulo),3.7,0.3,Mw(mb)
502,1989,12,18,11,46,26,-19.95,-47.16,0.0,20,3.4,1,I,4,,MG,Sacramento,(IPT;UnB;IAG),3.1,0.3,Mw(mb)
503,1989,12,27,19,26,13,-3.76,-40.83,0.0,30,3.2,1,I,4-5,0.6,CE,Frecheirinha,(UFRN;IAG),2.8,0.33,0.7Mw(mb)+0.3Mw(Af)
504,1990,1,11,1,30,0,-32.68,-55.58,0.0,20,2.8,4,C,3,,UR,La_Paloma; Durazno,(Benavidez 1998) H.L.=22:30,2.9,0.6,Mw(mb(I0))
505,1990,1,19,22,5,15,-19.95,-47.16,0.0,10,4.2,1,B,5-6,5.0,MG,Sacramento,(IPT;UnB;IAG;ON;UNESP),3.7,0.33,0.7Mw(mb)+0.3Mw(Af)
506,1990,2,12,23,56,39,-31.19,-48.92,13.0,30,5.2,2,I,-,,RS,Margem Cont.,(USGS mb=5.5;IAG;UnB;IPT;UNESP) P.Alegre,4.9,0.3,Mw(mb)
507,1990,3,1,21,59,59,-14.57,-44.12,1.0,1,3.1,1,I,4,0.5,MG,Manga,(UnB;IAG),2.7,0.33,0.7Mw(mb)+0.3Mw(Af)
508,1990,3,8,21,1,32,-15.5,-40.91,1.0,2,3.1,1,I,4,0.1,BA,Encruzilhada,(UnB;IAG),2.6,0.33,0.7Mw(mb)+0.3Mw(Af)
509,1990,3,9,12,53,29,-15.5,-40.91,1.0,2,2.9,1,I,-,,BA,Encruzilhada,(UnB;IAG),2.6,0.3,Mw(mb)
510,1990,4,30,5,31,4,-12.55,-40.3,0.0,10,2.9,1,C,4-5,,BA,Itaberaba,(IAG;UnB) dois eventos,2.6,0.3,Mw(mb)
511,1990,5,30,8,0,24,-25.73,-44.72,0.0,50,3.1,1,I,-,,PR,Margem Cont.,(IPT;IAG;UNESP),2.8,0.3,Mw(mb)
512,1990,6,10,3,40,29,-21.23,-46.02,0.0,20,2.9,1,I,4,,MG,Alfenas,(IAG;IPT;UnB;UNESP),2.6,0.3,Mw(mb)
513,1990,7,11,20,4,12,-20.11,-44.62,0.0,40,2.8,1,I,-,,MG,Divinopolis,(UnB),2.5,0.3,Mw(mb)
514,1990,7,28,18,5,23,-25.31,-44.52,0.0,50,2.9,1,I,-,,PR,Margem Cont.,(IAG; IPT),2.6,0.3,Mw(mb)
515,1990,8,21,5,12,41,-11.79,-48.27,0.0,30,3.5,1,I,5,,TO,Natividade,(UnB; IAG; UNESP),3.2,0.3,Mw(mb)
516,1990,8,21,5,41,52,-11.91,-48.25,0.0,30,3.6,1,I,5,3.8,TO,Natividade,(UnB; IAG; UNESP),3.2,0.33,0.7Mw(mb)+0.3Mw(Af)
517,1990,9,1,15,46,30,-23.17,-46.06,0.0,5,2.9,1,I,-,,SP,Igarata',(IPT;IAG) varios de 24/08 a 11/09,2.6,0.3,Mw(mb)
518,1990,9,7,23,39,41,-5.65,-35.85,3.0,5,2.8,1,I,-,,RN,Joao Camara,(UFRN; IAG),2.5,0.3,Mw(mb)
519,1990,9,8,2,58,11,-7.51,-73.28,10.0,50,4.0,5,I,-,,AC,Cruzeiro Sul,(USGS),2.5,0.3,Mw(mb)
520,1990,9,9,11,24,20,-5.65,-35.85,3.0,5,3.0,1,I,-,,RN,Joao Camara,(UFRN; IAG),2.7,0.3,Mw(mb)
521,1990,9,12,20,34,18,-5.65,-35.85,3.0,5,3.2,1,I,-,,RN,Joao Camara,(UFRN; IAG),2.9,0.3,Mw(mb)
522,1990,9,24,15,25,18,-5.65,-35.85,3.0,5,3.7,1,I,5,,RN,Joao Camara,(UFRN; IAG),3.4,0.3,Mw(mb)
523,1990,11,3,10,46,14,-5.65,-35.85,3.0,5,3.1,1,I,-,,RN,Joao Camara,(UFRN;IAG),2.8,0.3,Mw(mb)
524,1990,12,5,3,7,52,-12.84,-47.5,0.0,30,3.0,1,I,-,,GO,Parana,(UnB;IAG),2.7,0.3,Mw(mb)
525,1990,12,29,21,19,34,-17.07,-44.04,0.0,50,2.9,1,I,-,,MG,Bocaiuva,(IAG;UnB;IPT;UNESP),2.6,0.3,Mw(mb)
526,1991,2,8,21,13,14,-6.06,-38.49,0.0,30,2.8,1,I,-,,CE,Pereiro,(IAG;UFRN;UnB),2.5,0.3,Mw(mb)
527,1991,4,19,6,10,0,-15.5,-40.91,0.0,2,3.0,4,I,3-4,,BA,Encruzilhada,(UnB),2.4,0.6,Mw(mb(I0))
528,1991,4,19,10,12,48,-3.93,-39.87,10.0,5,4.9,2,I,6-7,200.0,CE,Iraucuba,(ISC mb=4.8;UnB;UFRN;IAG; Ferreira_etal 1,4.6,0.33,0.7Mw(mb)+0.3Mw(Af)
529,1991,4,26,14,14,29,-5.46,-35.69,0.0,10,3.5,1,I,-,,RN,Joao Camara,(UFRN;IAG;UnB),3.2,0.3,Mw(mb)
530,1991,5,5,21,7,57,-15.08,-39.4,0.0,50,2.8,1,I,-,,BA,Buerarema,(IAG),2.5,0.3,Mw(mb)
531,1991,5,12,6,50,44,-9.02,-41.75,0.0,50,2.9,1,I,-,,PI,Curral Novo,(IAG),2.6,0.3,Mw(mb)
532,1991,8,25,2,35,37,-13.15,-52.34,0.0,80,2.9,1,I,-,,MT,Rio Tanguro,(UnB),2.6,0.3,Mw(mb)
533,1991,9,3,20,46,53,-24.6,-48.43,0.0,30,2.8,1,I,4-5,,SP,Barra do Turvo,(IAG;IPT;UnB;UNESP),2.5,0.3,Mw(mb)
534,1991,9,6,21,54,50,-19.72,-45.61,0.0,50,2.9,1,I,-,,MG,Bom Despacho,(UnB;IAG),2.6,0.3,Mw(mb)
535,1991,10,7,15,46,37,-24.12,-43.01,0.0,30,3.0,1,I,-,,SP,Margem Cont.,(IAG;IPT),2.7,0.3,Mw(mb)
536,1991,11,13,18,14,25,-22.88,-49.83,0.0,20,3.0,1,I,4,,SP,S.Pedro do Turvo,(IAG;UnB;UNESP),2.7,0.3,Mw(mb)
537,1991,12,4,12,15,3,-22.67,-50.75,0.0,5,2.9,1,I,-,,SP,Cruzalia,(IPT;IAG;UNESP)Induzido?,2.6,0.3,Mw(mb)
538,1991,12,13,2,30,4,-13.44,-46.3,0.0,20,3.2,1,I,-,,GO,Sao Domingos,(UnB;IAG),2.9,0.3,Mw(mb)
539,1992,1,1,20,15,26,-20.33,-44.58,0.0,20,3.3,1,I,-,,MG,Crucilandia,(IPT;IAG;UnB) Explosao ?,3.0,0.3,Mw(mb)
540,1992,1,17,18,32,20,-22.72,-51.1,0.0,3,3.1,1,A,5,0.82,SP,Iepe,(IPT;IAG;UnB) Induzido?,2.7,0.33,0.7Mw(mb)+0.3Mw(Af)
541,1992,1,28,16,5,38,-20.99,-39.67,0.0,70,3.6,1,I,-,,ES,Margem Cont.,(IAG;IPT;UnB),3.3,0.3,Mw(mb)
542,1992,2,1,17,24,30,-26.91,-44.42,0.0,70,3.7,1,I,-,,PR,Margem Cont.,(IAG;IPT),3.4,0.3,Mw(mb)
543,1992,2,6,7,38,47,-10.34,-36.89,0.0,30,2.8,1,I,-,,SE,Capela,(IAG),2.5,0.3,Mw(mb)
544,1992,2,17,5,14,20,-5.49,-35.72,0.0,5,3.0,1,I,-,,RN,Joao Camara,(UFRN;IAG;UnB),2.7,0.3,Mw(mb)
545,1992,3,2,6,6,37,-20.01,-47.27,0.0,20,3.6,1,I,4,,MG,Sacramento,(IAG;UnB;IPT;UNESP),3.3,0.3,Mw(mb)
546,1992,3,9,23,17,59,-24.56,-50.69,0.0,10,3.2,1,A,4-5,1.90,PR,Imbau,(IAG;COPEL;IPT;UnB),2.9,0.33,0.7Mw(mb)+0.3Mw(Af)
547,1992,4,17,21,28,8,-5.64,-35.85,0.0,5,3.2,1,I,-,,RN,Joao Camara,(UFRN;IAG;UnB),2.9,0.3,Mw(mb)
548,1992,4,24,3,9,30,-26.85,-45.76,0.0,50,3.7,1,I,-,,SC,Margem Cont.,(UnB;IPT;IAG;UNESP),3.4,0.3,Mw(mb)
549,1992,4,24,3,31,31,-26.77,-45.81,0.0,50,3.9,1,I,-,,SC,Margem Cont.,(UnB;IPT;IAG;UNESP),3.6,0.3,Mw(mb)
550,1992,6,9,10,27,55,-13.55,-39.83,0.0,40,3.0,1,I,-,,BA,Jaguaquara,(IAG;UnB),2.7,0.3,Mw(mb)
551,1992,6,9,22,22,24,-21.22,-43.84,0.0,10,3.7,1,I,5,,MG,Barbacena,(IAG;IPT;UnB),3.4,0.3,Mw(mb)
552,1992,6,16,2,50,38,1.53,-41.57,0.0,30,4.7,2,I,-,,PI,Margem Cont.,(h=33N GS;UFRN;IAG;UnB),4.4,0.3,Mw(mb)
553,1992,6,18,23,17,13,-21.33,-46.15,0.0,5,2.9,1,I,4,,MG,Areado,(UnB;IAG;UNESP) 2 evtos.,2.6,0.3,Mw(mb)
554,1992,7,5,7,34,17,-22.03,-51.31,0.0,20,3.2,1,I,5,,SP,Pres. Prudente,(UNESP;IPT;IAG;UnB),2.9,0.3,Mw(mb)
555,1992,7,5,9,55,40,-21.09,-43.66,0.0,10,3.1,1,I,3-4,,MG,Barbacena,(IPT;IAG;UnB),2.8,0.3,Mw(mb)
556,1992,7,25,23,18,54,-19.95,-44.16,0.0,5,2.8,1,A,5-6,0.70,MG,Betim,(IAG;IPT;UnB),2.5,0.33,0.7Mw(mb)+0.3Mw(Af)
557,1992,8,13,18,20,31,-11.73,-40.57,0.0,40,2.8,1,I,-,,BA,Mundo Novo,(IAG),2.5,0.3,Mw(mb)
558,1992,8,25,17,26,26,-12.78,-39.03,0.0,50,3.2,1,I,-,,BA,Reconcavo,(UnB;IAG),2.9,0.3,Mw(mb)
559,1992,10,15,19,33,20,-19.8,-43.97,0.0,30,3.0,1,I,-,,MG,R.das Neves,(IAG;IPT;UnB) Explosao ?,2.7,0.3,Mw(mb)
560,1992,12,9,16,21,0,-24.89,-46.33,0.0,20,3.4,1,I,-,,SP,Margem Cont.,(IAG;IPT;UnB;COPEL),3.1,0.3,Mw(mb)
561,1993,2,1,16,9,24,-5.63,-35.84,0.0,10,3.0,1,I,-,,RN,J. Camara,(UFRN;UnB;IAG),2.7,0.3,Mw(mb)
562,1993,3,9,8,56,3,-20.58,-45.4,1.0,1,3.1,1,I,4,1.2 ,MG,Formiga,(IAG;IPT;UnB;UNESP),2.8,0.33,0.7Mw(mb)+0.3Mw(Af)
563,1993,5,10,15,15,13,-21.6,-40.7,0.0,30,3.2,1,I,-,,RJ,Margem Cont.,(IAG;IPT;UnB;UNESP),2.9,0.3,Mw(mb)
564,1993,5,12,0,37,23,-20.58,-45.4,1.0,1,2.9,1,I,4,1.9 ,MG,Formiga,(IAG;IPT;UnB;UNESP),2.7,0.33,0.7Mw(mb)+0.3Mw(Af)
565,1993,5,21,10,32,12,-23.91,-43.0,0.0,20,3.6,1,I,-,,SP,Margem Cont.,(IPT;IAG;UnB;UNESP;COPEL,3.3,0.3,Mw(mb)
566,1993,6,5,5,51,1,-29.83,-57.3,0.0,30,3.4,1,I,-,,AR,Argentina,(IPT;COPEL;IAG;UFRS;UNESP),3.1,0.3,Mw(mb)
567,1993,7,12,8,29,1,-14.79,-51.03,0.0,10,4.1,1,I,5,39.0,GO,Aruana,(UnB;IAG;IPT;UFRN;COPEL),3.8,0.33,0.7Mw(mb)+0.3Mw(Af)
568,1993,9,25,20,27,27,-10.49,-37.07,0.0,10,3.5,1,I,5,,SE,Capela,(UFRN;IAG;UnB),3.2,0.3,Mw(mb)
569,1993,9,27,3,56,6,-10.49,-37.07,0.0,10,3.5,1,I,5-6,,SE,Capela,(UFRN;IAG;UnB),3.2,0.3,Mw(mb)
570,1993,10,10,0,58,17,-8.28,-36.02,0.0,5,3.3,1,I,3-4,,PE,Caruaru,(UFRN;UnB;UFRN;IAG),3.0,0.3,Mw(mb)
571,1993,10,18,6,18,8,-15.14,-44.97,0.0,40,3.3,1,I,-,,MG,Januaria,(UnB;IAG;UNESP),3.0,0.3,Mw(mb)
572,1993,11,18,15,22,46,-5.3,-50.43,0.0,80,3.9,1,I,-,,PA,Serra de Carajas,(UnB;IAG;UFRN),3.6,0.3,Mw(mb)
573,1993,12,27,15,10,50,-20.32,-44.47,0.0,5,2.9,1,I,-,,MG,Itaguara,(IAG;UnB;IPT),2.6,0.3,Mw(mb)
574,1993,12,27,22,48,11,-20.32,-44.47,4.0,5,3.6,1,I,5,,MG,Itaguara,(IAG;UnB;IPT) varios,3.3,0.3,Mw(mb)
575,1993,12,28,21,9,34,-20.32,-44.47,0.0,5,3.2,1,I,3,,MG,Itaguara,(IAG;UnB;IPT),2.9,0.3,Mw(mb)
576,1993,12,28,21,32,6,-20.32,-44.47,4.0,5,3.2,1,I,-,,MG,Itaguara,(IAG;UnB;IPT),2.9,0.3,Mw(mb)
577,1993,12,28,22,28,33,-20.32,-44.47,0.0,5,2.9,1,I,-,,MG,Itaguara,(IAG;UnB;IPT),2.6,0.3,Mw(mb)
578,1993,12,28,22,32,35,-20.32,-44.47,0.0,5,2.9,1,I,3,,MG,Itaguara,(IAG;UnB;IPT),2.6,0.3,Mw(mb)
579,1993,12,29,4,59,25,-20.32,-44.47,0.0,5,2.8,1,I,-,,MG,Itaguara,(IAG;UnB;IPT),2.5,0.3,Mw(mb)
580,1993,12,31,10,29,50,-20.32,-44.47,0.0,5,2.8,1,I,-,,MG,Itaguara,(IAG;UnB;IPT),2.5,0.3,Mw(mb)
581,1994,2,9,12,15,38,-22.76,-56.71,0.0,40,3.0,1,I,-,,PY,Paraguai,(IPT;UnB;IAG;COPEL),2.7,0.3,Mw(mb)
582,1994,4,6,12,18,22,-9.75,-36.54,0.0,20,2.8,1,I,4,,AL,Junqueiro,(IAG;UnB),2.5,0.3,Mw(mb)
583,1994,6,1,21,22,7,-23.12,-40.97,0.0,20,3.3,1,I,-,,RJ,Margem Cont.,(UnB;IAG),3.0,0.3,Mw(mb)
584,1994,6,8,5,32,33,-19.38,-47.65,0.0,5,2.8,1,I,-,,MG,Nova Ponte,(UnB),2.5,0.3,Mw(mb)
585,1994,6,18,21,2,7,-4.41,-38.29,4.0,2,2.9,1,I,-,,CE,Cascavel,(UFRN;IAG) varios,2.6,0.3,Mw(mb)
586,1994,7,24,13,56,2,-4.41,-38.29,4.0,2,2.9,5,I,-,,CE,Cascavel,(UFRN;UnB;IAG),2.6,0.3,Mw(mb)
587,1994,8,5,12,56,3,-4.41,-38.29,4.0,2,2.8,5,I,-,,CE,Cascavel,(UFRN;UnB;IAG),2.6,0.3,Mw(mb)
588,1994,8,11,7,23,34,-4.41,-38.29,4.0,2,3.5,1,I,-,,CE,Cascavel,(UFRN;IAG;UnB),3.2,0.3,Mw(mb)
589,1994,8,26,1,31,47,-5.49,-36.54,0.0,2,3.0,1,I,-,,RN,N.S. Rafael,(UFRN;UnB;IAG)varios,2.7,0.3,Mw(mb)
590,1994,9,11,1,41,22,-5.46,-35.69,0.0,10,3.5,1,I,-,,RN,Joao Camara,(UFRN;IAG;UnB),3.2,0.3,Mw(mb)
591,1994,9,20,7,9,46,-4.41,-38.29,4.0,2,2.8,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),2.5,0.3,Mw(mb)
592,1994,11,4,12,19,47,-4.41,-38.29,4.0,2,2.8,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),2.5,0.3,Mw(mb)
593,1994,11,13,4,47,17,-20.2,-44.4,0.0,10,3.0,1,I,4-5,1.65,MG,Brumadinho,(IAG;UnB;IPT),2.7,0.33,0.7Mw(mb)+0.3Mw(Af)
594,1995,2,9,22,17,22,-12.47,-54.2,0.0,80,3.7,1,I,-,,MT,Consul,(UnB),3.4,0.3,Mw(mb)
595,1995,3,11,3,52,6,-26.13,-48.39,0.0,30,2.8,1,I,-,,SC,Plat. Cont.,(IPT;IAG;COPEL;UFRS),2.5,0.3,Mw(mb)
596,1995,3,20,3,26,38,-5.37,-35.94,0.0,30,2.9,5,I,-,,RN,Joao Camara,(UFRN;UnB),2.5,0.3,Mw(mb)
597,1995,4,21,8,51,27,-19.14,-47.67,0.0,5,3.5,1,I,3,,MG,Nova Ponte,(UnB;IPT;IAG),3.2,0.3,Mw(mb)
598,1995,4,22,16,50,50,-4.41,-38.29,4.0,2,3.5,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.2,0.3,Mw(mb)
599,1995,5,2,16,49,26,-25.68,-48.31,0.0,50,3.1,1,I,-,,SP,Margem Cont.,(IPT),2.8,0.3,Mw(mb)
600,1995,5,10,1,37,56,-3.91,-40.41,0.0,5,3.4,1,I,-,,CE,Groairas,(UFRN;IAG),3.1,0.3,Mw(mb)
601,1995,5,26,19,43,44,-20.2,-47.65,0.0,50,2.9,1,I,-,,SP,Buritizal,(UnB),2.6,0.3,Mw(mb)
602,1995,5,27,23,19,44,-20.01,-44.7,0.0,20,3.1,1,I,-,,MG,Igaratinga,(UnB;IPT;IAG),2.8,0.3,Mw(mb)
603,1995,5,30,19,43,8,-19.68,-47.5,0.0,30,3.0,1,I,-,,MG,Nova Ponte,(UnB),2.7,0.3,Mw(mb)
604,1995,5,31,0,36,47,-25.15,-44.6,0.0,50,3.0,1,I,-,,SP,Margem Cont.,(IAG;IPT),2.7,0.3,Mw(mb)
605,1995,6,2,9,32,11,-20.54,-47.66,0.0,50,2.9,1,I,-,,SP,Sao Jose,(UnB),2.6,0.3,Mw(mb)
606,1995,6,3,5,26,31,-18.03,-46.74,0.0,50,3.1,1,I,-,,GO,Vazante,(UnB;IAG),2.8,0.3,Mw(mb)
607,1995,6,6,0,32,22,-20.32,-48.41,0.0,30,2.8,1,I,-,,SP,Guaira,(UnB;IPT;IAG),2.5,0.3,Mw(mb)
608,1995,6,21,2,57,43,-10.79,-48.34,0.0,20,2.9,1,I,-,,TO,Porto Nacional,(UnB;IAG),2.6,0.3,Mw(mb)
609,1995,8,10,19,16,32,-9.86,-50.54,0.0,70,2.9,1,I,-,,MT,Vila Rica,(UnB),2.6,0.3,Mw(mb)
610,1995,8,24,3,20,6,-19.17,-47.86,0.0,20,3.0,1,I,-,,MG,Nova Ponte,(UnB),2.7,0.3,Mw(mb)
611,1995,8,27,20,8,35,-16.67,-43.94,0.0,10,3.7,1,I,6,,MG,Montes Claros,(IAG;UnB;IPT),3.4,0.3,Mw(mb)
612,1995,10,28,6,7,0,-23.73,-53.21,0.0,50,2.8,1,I,-,,PR,Lovat,(IPT),2.5,0.3,Mw(mb)
613,1996,1,13,0,33,9,-28.04,-46.38,0.0,50,3.2,1,I,-,,SC,Margem Cont.,(IAG;IPT;COPEL;UFRS),2.9,0.3,Mw(mb)
614,1996,2,23,23,27,9,-21.95,-48.68,0.0,5,2.9,1,I,-,,SP,Bariri,(IPT;UnB;IAG;COPEL),2.6,0.3,Mw(mb)
615,1996,2,28,5,34,51,-19.58,-48.2,0.0,50,2.8,1,I,-,,MG,Nova Ponte,(UnB),2.5,0.3,Mw(mb)
616,1996,3,1,3,39,33,-15.61,-51.87,0.0,4,3.2,1,I,-,,MT,Araguaiana,(UnB),2.9,0.3,Mw(mb)
617,1996,3,12,10,18,36,-28.43,-34.66,0.0,50,4.6,0,I,-,,SC,Atlantico S,(ISC),4.3,0.3,Mw(mb)
618,1996,3,13,5,5,58,-15.61,-51.87,0.0,4,3.6,1,I,-,,MT,Araguaiana,(UnB;IPT;IAG),3.3,0.3,Mw(mb)
619,1996,3,21,18,49,29,-15.61,-51.87,0.0,4,3.4,1,I,-,,MT,Araguaiana,(UnB),3.1,0.3,Mw(mb)
620,1996,3,21,18,53,42,-15.61,-51.87,0.0,4,3.1,1,I,-,,MT,Araguaiana,(UnB),2.8,0.3,Mw(mb)
621,1996,3,22,6,17,7,-15.61,-51.87,0.0,4,2.9,1,I,-,,MT,Araguaiana,(UnB),2.6,0.3,Mw(mb)
622,1996,3,28,11,50,0,-15.61,-51.87,0.0,4,3.1,1,I,-,,MT,Araguaiana,(UnB),2.8,0.3,Mw(mb)
623,1996,3,28,15,5,53,-24.87,-44.24,0.0,30,3.1,1,I,-,,SP,Margem Cont.,(IPT;UnB;IAG),2.8,0.3,Mw(mb)
624,1996,3,30,21,32,56,-15.61,-51.87,0.0,4,3.2,1,I,-,,MT,Araguaiana,(UnB;IAG),2.9,0.3,Mw(mb)
625,1996,4,9,5,17,0,-21.29,-47.32,0.0,5,2.8,5,I,-,,SP,Cajuru,(IPT),2.9,0.3,Mw(mb)
626,1996,4,24,20,3,55,-26.47,-45.38,0.0,30,3.0,1,I,-,,SC,Margem Cont.,(IAG;IPT),2.7,0.3,Mw(mb)
627,1996,4,27,14,47,12,-18.12,-43.69,0.0,60,3.2,1,I,-,,MT,Alto Garcas,(UnB),2.9,0.3,Mw(mb)
628,1996,5,10,6,0,43,-15.61,-51.87,0.0,4,3.4,1,I,6,,MT,Araguaiana,(UnB;IPT;IAG),3.1,0.3,Mw(mb)
629,1996,6,11,20,38,37,-22.73,-48.68,0.0,50,3.4,1,I,-,,SP,Areiopolis,(UnB),3.1,0.3,Mw(mb)
630,1996,6,13,3,50,20,-26.7,-45.68,0.0,40,2.8,1,I,-,,SC,Margem Cont.,(IPT;IAG),2.5,0.3,Mw(mb)
631,1996,7,1,23,20,0,-10.75,-62.22,0.0,20,3.2,5,I,4-5,,RO,Ouro Preto,(UnB),2.5,0.3,Mw(mb)
632,1996,7,27,23,34,57,-23.88,-57.02,0.0,50,3.0,1,I,-,,PY,Paraguai,(IPT;COPEL),2.7,0.3,Mw(mb)
633,1996,8,15,9,24,36,-15.61,-51.87,0.0,4,3.4,1,I,-,,MT,Araguaiana,(UnB),3.1,0.3,Mw(mb)
634,1996,8,21,20,30,40,-15.61,-51.87,0.0,4,3.0,1,I,-,,MT,Araguaiana,(UnB),2.7,0.3,Mw(mb)
635,1996,8,28,13,14,4,-15.79,-51.95,0.0,30,2.9,1,I,-,,MT,Araguaiana,(UnB),2.6,0.3,Mw(mb)
636,1996,8,29,15,8,36,-15.61,-51.87,0.0,4,3.0,1,I,-,,MT,Araguaiana,(UnB),2.7,0.3,Mw(mb)
637,1996,9,1,4,12,47,-15.81,-42.23,0.0,30,2.8,1,I,4-5,,MG,Taiobeiras,(UnB),2.5,0.3,Mw(mb)
638,1996,9,1,17,26,59,-15.83,-51.93,0.0,30,2.8,1,I,-,,MT,Araguaiana,(UnB),2.5,0.3,Mw(mb)
639,1996,9,10,2,55,0,-8.28,-35.98,0.0,20,2.8,4,C,3-4,,PE,Caruaru,(UnB; TV Globo),2.4,0.6,Mw(mb(I0))
640,1996,9,12,7,1,40,-15.57,-51.93,0.0,20,3.0,1,I,-,,MT,Araguaiana,(UnB),2.7,0.3,Mw(mb)
641,1996,10,18,21,44,1,-21.04,-46.74,0.0,5,4.0,1,I,5,11.,MG,Jacui-Guaxupeh,(UnB;IAG;IPT),3.6,0.33,0.7Mw(mb)+0.3Mw(Af)
642,1996,10,26,20,30,17,-22.71,-40.5,0.0,30,4.0,1,I,-,,RJ,Margem Cont.,(IAG;UnB;IPT),3.7,0.3,Mw(mb)
643,1996,11,9,15,38,1,-24.41,-47.84,0.0,20,2.8,1,I,-,,SP,Registro,(IAG;IPT),2.5,0.3,Mw(mb)
644,1996,11,13,23,39,8,-12.26,-50.11,0.0,60,3.4,1,I,-,,TO,Gurupi,(UnB;IAG),3.1,0.3,Mw(mb)
645,1996,11,26,4,14,24,-11.39,-56.8,0.0,30,4.2,2,I,3-4,,MT,Tabapora,(UnB;IAG;IPT;IDC: mb=4.0),3.9,0.3,Mw(mb)
646,1996,12,10,17,44,18,-15.61,-51.87,0.0,4,3.5,1,I,-,,MT,Araguaiana,(UnB;IAG),3.2,0.3,Mw(mb)
647,1997,2,26,21,7,41,-15.61,-51.87,0.0,3,3.0,1,I,-,,MT,Araguaiana,(UnB),2.7,0.3,Mw(mb)
648,1997,4,22,14,29,39,-3.76,-40.79,0.0,10,3.2,1,I,4-5,,CE,Frecheirinha,(UFRN;IAG),2.9,0.3,Mw(mb)
649,1997,5,17,23,28,1,-7.14,-51.25,0.0,10,3.2,1,I,-,,PA,Sao Felix do Xingu,(UnB),2.9,0.3,Mw(mb)
650,1997,5,27,20,7,34,-13.52,-49.5,0.0,10,3.5,1,I,-,,GO,Porangatu,(UnB),3.2,0.3,Mw(mb)
651,1997,6,9,12,2,16,-3.19,-40.43,0.0,2,3.2,5,I,5,,CE,Senador Sa,(UFRN;IAG),3.2,0.3,Mw(mb)
652,1997,7,8,19,31,43,-22.81,-40.78,0.0,30,2.9,1,I,-,,RJ,Margem Cont.,(IAG;UnB),2.6,0.3,Mw(mb)
653,1997,7,11,19,16,56,-17.98,-51.91,0.0,10,2.8,1,I,-,,GO,Jatai,(UnB),2.5,0.3,Mw(mb)
654,1997,7,17,16,45,45,-20.82,-47.17,0.0,30,2.9,1,I,-,,SP,Antas,(UnB),2.6,0.3,Mw(mb)
655,1997,8,16,16,11,6,-14.97,-50.58,0.0,10,3.0,1,I,-,,GO,Mozarlandia,(UnB),2.7,0.3,Mw(mb)
656,1997,8,22,1,28,35,-22.87,-45.96,0.0,10,2.8,1,I,3,,SP,S.Francisco Xavier,(UnB;IAG;IPT),2.5,0.3,Mw(mb)
657,1997,8,24,5,59,4,-11.1,-50.61,0.0,10,3.1,1,I,-,,TO,S.F.Araguaia,(UnB),2.8,0.3,Mw(mb)
658,1997,9,19,22,3,22,-4.41,-38.29,0.0,2,3.6,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.3,0.3,Mw(mb)
659,1997,9,21,4,14,55,-4.41,-38.29,0.0,2,3.3,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.0,0.3,Mw(mb)
660,1997,9,22,16,5,47,-4.41,-38.29,0.0,2,2.8,5,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.0,0.3,Mw(mb)
661,1997,9,22,21,48,38,-4.41,-38.29,0.0,2,3.3,1,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.0,0.3,Mw(mb)
662,1997,10,23,23,15,6,-3.94,-39.53,0.0,30,2.9,1,I,3-4,,CE,Apuiares,(UFRN;UnB;IAG),2.6,0.3,Mw(mb)
663,1997,11,17,17,27,1,-20.75,-45.75,0.0,5,3.5,1,I,5-6,1.3,MG,Guapeh,(UnB;IAG) forte Volta Grande; Faz.Monteir,3.1,0.33,0.7Mw(mb)+0.3Mw(Af)
664,1997,11,25,23,39,22,-22.6,-47.58,0.0,10,3.3,1,I,4,,SP,Limeira,(IAG;UnB;IPT),3.0,0.3,Mw(mb)
665,1997,12,12,8,45,45,-3.19,-40.43,0.0,2,3.0,5,I,-,,CE,Senador Sa,(UFRN;UnB;IAG),3.0,0.3,Mw(mb)
666,1997,12,16,3,34,2,-4.41,-38.29,0.0,2,3.1,5,I,-,,CE,Cascavel,(UFRN;UnB;IAG),3.0,0.3,Mw(mb)
667,1998,1,7,12,47,22,-16.22,-41.3,0.0,50,3.1,1,I,-,,MG,Medina,(UnB),2.8,0.3,Mw(mb)
668,1998,2,2,15,31,25,-3.87,-39.49,0.0,10,2.8,5,I,-,,CE,Tejucuoca,(UFRN;IAG),2.8,0.3,Mw(mb)
669,1998,2,16,7,37,29,-17.91,-56.7,0.0,50,3.5,1,I,-,,MS,Paiaguas,(UnB),3.2,0.3,Mw(mb)
670,1998,2,26,13,16,29,-3.95,-49.64,0.0,20,3.1,1,I,-,,PA,Tucurui,(UnB),2.8,0.3,Mw(mb)
